"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AAGR","African Agriculture Holdings Inc","Consumer Defensive","Farm Products","USA",10.41,,57.87,15.65,27.04%,72.96%,0.00%,3.39%,2.17%,3.92%,0.42,0.61,1.52%,-0.11%,1.58%,-0.72%,-1.75%,-0.17%,-6.01%,6.39%,8.64%,8.64%,-2.81%,-30.12%,-43.81%,-77.80%,-97.55%,-85.62%,0.03,8.24%,12.84%,-9.85%,-39.53%,-91.59%,8.64%,2.16%,1453.22,71.51,5196082,0.16,0.17,0.21,0.16,0.18,10.99%
2,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",28.88,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,3.93%,-3.57%,-4.92%,10.35%,57.85%,52.96%,11.43%,146.84%,146.84%,146.84%,88.54%,71.32%,50.38%,-21.83%,,-41.28%,0.04,15.15%,8.56%,87.28%,63.57%,-50.59%,151.81%,4.20%,253.80,1642.13,20838655,0.14,0.15,0.42,0.14,0.38,162.38%
3,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",23.65,,175.80,171.69,97.66%,2.34%,0.00%,3.02%,10.09%,1.92%,0.40,3.29,-0.15%,2.05%,0.37%,-0.30%,1.97%,1.36%,1.13%,1.51%,0.15%,0.15%,-4.13%,17.26%,-21.76%,-19.99%,-88.98%,-41.11%,0.01,7.63%,7.95%,9.21%,-6.72%,-36.71%,0.15%,3.07%,8262.96,2.04,844583,0.13,0.13,0.14,0.13,0.13,3.22%
4,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",12.33,1.18,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,-0.69%,1.13%,-0.35%,-1.13%,2.38%,2.86%,6.91%,7.79%,14.82%,14.82%,1.91%,-9.26%,-71.01%,-65.89%,-93.65%,-92.04%,0.13,30.03%,18.41%,18.82%,-24.45%,-85.69%,13.72%,8.27%,950.04,34.45,1636588,0.54,0.58,0.72,0.58,0.66,23.12%
5,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",13.23,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,1.40%,-1.09%,3.31%,6.54%,9.58%,10.72%,9.71%,15.90%,17.40%,17.40%,-9.55%,-28.03%,-80.61%,-95.68%,-93.72%,-96.97%,0.03,14.81%,11.74%,-11.20%,-35.98%,-93.27%,17.40%,4.55%,1971.83,22.11,2179591,0.15,0.15,0.18,0.15,0.18,22.74%
6,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",15.07,2.45,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,1.71%,-0.05%,-0.92%,-3.42%,-3.62%,-8.13%,-15.62%,-21.21%,-26.01%,-26.01%,26.46%,-7.25%,-37.94%,-94.82%,-94.47%,-94.82%,0.08,9.46%,8.83%,20.57%,-7.16%,-90.04%,-27.68%,125.09%,81.94,3182.44,13038523,0.35,0.79,0.83,0.56,0.57,62.77%
7,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",334.64,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,5.50%,0.18,1.29,0.89%,-0.55%,0.22%,-0.33%,-2.38%,-3.32%,8.02%,10.13%,9.87%,9.87%,278.99%,351.00%,186.35%,,,-63.92%,1.16,47.86%,20.45%,227.05%,227.46%,134.38%,11.08%,-7.41%,7333.00,14.05,5149985,8.77,8.12,9.55,8.10,9.02,2.85%
8,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",25.24,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,4.27%,6.15%,-0.18%,0.35%,5.43%,2.70%,-5.62%,-2.84%,-3.76%,-3.76%,40.10%,76.62%,-54.76%,-56.71%,-91.83%,-77.35%,0.13,25.86%,14.32%,56.32%,-4.01%,-81.09%,-1.33%,81.31%,452.58,683.51,15467264,0.48,0.87,1.18,0.77,0.86,78.91%
9,"STBX","Starbox Group Holdings Ltd","Communication Services","Internet Content & Information","Malaysia",53.34,,236.00,164.11,69.54%,30.46%,0.00%,0.08%,37.41%,0.03%,0.68,0.06,-12.74%,32.63%,26.47%,33.02%,39.42%,-2.33%,34.28%,14.72%,14.72%,14.72%,30.03%,22.16%,18.26%,12.66%,-94.21%,-14.39%,0.02,5.19%,6.11%,26.79%,22.43%,-26.94%,26.40%,5.24%,80.93,422.72,1710576,0.17,0.18,0.27,0.13,0.23,33.02%
10,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",227.60,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,0.19%,0.01%,0.01%,-0.42%,-0.23%,-0.19%,0.24%,2.58%,4.39%,4.39%,36.28%,44.61%,42.86%,26.78%,-6.36%,6.03%,0.27,4.64%,6.11%,47.36%,38.81%,23.73%,8.21%,24.86%,59.01,296.97,876251,3.50,4.37,4.88,4.27,4.73,35.11%
11,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",15.49,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,-20.63%,11.05%,11.11%,13.02%,22.09%,15.38%,15.70%,25.00%,25.00%,25.00%,21.04%,17.52%,-37.69%,-46.85%,,-58.83%,0.03,7.27%,6.51%,24.21%,-34.80%,-83.18%,25.00%,4.41%,1715.54,206.80,17738662,0.16,0.17,0.32,0.15,0.21,30.52%
12,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",16.58,,22.40,,,,,0.68%,,,0.83,0.10,1.33%,-0.58%,-2.59%,-4.47%,-2.18%,-3.75%,2.79%,-11.39%,-19.52%,-19.52%,138.77%,124.30%,146.73%,124.37%,,124.44%,0.08,9.78%,9.10%,138.94%,138.90%,88.17%,-24.27%,235.88%,123.25,6979.31,43011430,0.29,0.98,1.04,0.69,0.74,154.36%
