"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",103.33,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,0.66%,0.66%,0.00%,0.00%,0.00%,0.00%,-0.72%,-0.68%,-0.68%,14.17%,22.88%,18.85%,25.00%,-86.69%,38.10%,0.08,4.25%,7.04%,20.06%,23.97%,-20.83%,-2.03%,10.45%,879.73,23.37,1027757,1.34,1.48,1.53,1.43,1.45,8.21%,,
2,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",18.18,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.50%,1.02%,0.50%,-1.96%,0.50%,-0.99%,0.51%,-6.54%,20.48%,20.48%,-3.85%,-10.91%,-3.61%,3.12%,-70.70%,-37.40%,0.33,19.99%,15.90%,14.98%,0.83%,-13.81%,21.21%,5.10%,86.26,1206.29,5202454,1.57,1.65,2.42,1.63,2.00,27.39%,,
3,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",51.42,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,-0.72%,3.01%,0.00%,-2.14%,0.66%,0.66%,24.55%,0.00%,-48.88%,-45.63%,-87.23%,-53.56%,0.12,9.68%,10.19%,15.51%,-14.57%,-50.20%,0.66%,1.57%,621.13,23.99,745184,1.34,1.36,1.49,1.33,1.37,2.24%,,
4,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.31,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.38%,-0.68%,-0.76%,-0.53%,-0.76%,-1.28%,-0.95%,-5.83%,-4.87%,-4.87%,-11.32%,-85.47%,-91.53%,-92.63%,-97.51%,-94.25%,0.21,43.08%,31.84%,-69.97%,-87.32%,-90.96%,-4.60%,9.20%,2032.29,96.76,9832333,0.25,0.27,0.29,0.26,0.26,4.18%,,
5,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",27.70,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,-0.83%,-1.64%,-2.04%,-2.83%,0.84%,3.45%,-4.00%,-9.77%,9.09%,9.09%,11.63%,15.39%,16.50%,-47.14%,-57.45%,-51.02%,0.31,6.54%,3.57%,18.47%,16.33%,-17.61%,9.09%,12.24%,4.19,12136.04,2543327,1.96,2.20,4.99,2.15,2.40,22.45%,,
6,"INTC","Intel Corp.","Technology","Semiconductors","USA",152741.16,37.38,5.01,4257.00,4254.58,0.06%,0.55%,67.03%,-1.78%,2.26%,2.03,96.01,-0.17%,0.00%,0.22%,-0.28%,0.42%,0.31%,1.61%,4.30%,4.85%,4.85%,2.90%,17.83%,-1.05%,-23.76%,4.39%,-28.60%,1.04,3.50%,2.61%,11.75%,14.61%,-7.74%,4.91%,-0.41%,47320.86,2.02,4784450,34.34,34.20,36.02,34.05,35.88,4.48%,,
7,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",26.80,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-0.24%,-1.63%,-1.86%,-0.94%,2.65%,0.72%,-7.04%,3.43%,18.21%,18.21%,-7.25%,32.29%,19.55%,-59.42%,-88.05%,-68.97%,0.71,27.05%,22.18%,69.00%,131.26%,-53.05%,18.21%,1.42%,9500.39,16.89,8024335,3.52,3.57,4.98,3.53,4.22,19.89%,,
8,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",24.66,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.62%,0.31%,0.93%,0.62%,0.93%,1.25%,0.93%,-1.52%,-3.57%,-3.57%,-21.74%,-19.40%,26.56%,-48.66%,-85.91%,-64.47%,2.45,30.92%,45.59%,-61.29%,-38.43%,-75.29%,-9.75%,26.41%,8908.97,18.62,8293997,2.84,3.59,3.60,3.13,3.24,14.08%,,
9,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",91.43,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.32%,-0.01%,0.67%,1.01%,-2.00%,-1.66%,-1.65%,1.01%,-7.80%,-7.80%,77.23%,72.08%,-13.46%,-54.40%,,-55.16%,0.23,9.75%,7.24%,82.19%,49.45%,-36.31%,-6.63%,53.14%,184.54,420.83,3883065,2.07,3.17,3.23,2.84,2.96,42.98%,,
10,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135516.21,10.13,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,0.00%,-0.05%,0.00%,-0.05%,-0.05%,-0.05%,-0.05%,0.64%,0.53%,0.53%,0.85%,7.14%,17.46%,14.96%,39.69%,12.63%,0.28,1.55%,1.51%,1.37%,5.11%,12.22%,0.53%,-0.27%,33363.63,3.70,6172375,18.85,18.80,18.93,18.77,18.90,0.27%,,
11,"UNCY","Unicycive Therapeutics Inc","Healthcare","Biotechnology","USA",41.04,,0.57,85.68,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.80,1.47,0.00%,-0.21%,-0.21%,-0.23%,-0.21%,-2.24%,1.98%,3.88%,1.96%,1.96%,-1.42%,-26.18%,-57.23%,-46.18%,-62.87%,-44.80%,0.07,12.49%,14.09%,-8.55%,-37.49%,-47.98%,1.96%,-0.47%,814.56,22.89,932247,0.47,0.47,0.55,0.46,0.48,1.48%,,
12,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",13.31,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,0.24%,-1.77%,-2.37%,-5.06%,-11.09%,-16.12%,-4.92%,9.54%,8.97%,8.97%,7.59%,4.51%,-27.35%,-1.92%,-89.19%,-25.92%,0.01,4.38%,6.16%,6.27%,-5.94%,-41.37%,8.97%,0.52%,14584.16,48.43,35318132,0.12,0.12,0.16,0.12,0.13,9.54%,,
13,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",27.35,,0.09,45.67,41.02,10.18%,0.00%,1.13%,,0.02%,0.00,0.01,1.80%,1.80%,1.80%,3.06%,0.00%,-0.02%,1.27%,-1.84%,-0.20%,-0.20%,81.45%,-7.86%,-3.42%,-32.64%,-32.22%,-26.89%,0.11,20.63%,15.59%,10.36%,-8.23%,-22.46%,3.24%,0.87%,1984.94,11.87,1178145,0.57,0.58,0.72,0.58,0.60,4.14%,,
