"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",100.48,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-1.43%,-2.08%,-2.76%,-2.12%,-2.76%,-2.76%,-2.73%,-2.79%,-3.42%,-3.42%,11.02%,19.49%,15.57%,21.55%,-87.05%,34.29%,0.08,4.25%,7.04%,16.75%,20.55%,-23.01%,-1.40%,6.72%,879.73,26.62,1170945,1.34,1.43,1.43,1.41,1.41,5.22%,,
2,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",574.44,38.36,1.65,28.54,27.11,6.23%,-0.48%,64.48%,35.54%,21.56%,5.62,5.85,2.79%,3.81%,5.24%,5.24%,5.19%,5.80%,6.71%,6.31%,6.26%,7.99%,29.11%,50.42%,71.44%,14.92%,-61.91%,-25.10%,1.18,10.26%,7.48%,60.03%,63.53%,3.79%,2.79%,14.79%,1040.43,12.81,666375,16.84,19.33,19.87,19.20,19.87,17.99%,,
3,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",17.48,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,-0.89%,-0.38%,-0.89%,1.73%,-0.37%,-1.90%,-3.86%,-3.38%,-9.73%,15.83%,-7.56%,-14.36%,-7.34%,-0.87%,-71.83%,-39.82%,0.30,19.99%,15.90%,10.54%,-3.07%,-17.14%,-1.40%,24.20%,86.26,1265.65,5458457,1.57,1.95,1.94,1.90,1.92,22.46%,,
4,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",50.67,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,1.50%,1.50%,-1.46%,-1.46%,1.50%,-1.46%,-1.46%,-1.46%,-0.74%,-0.81%,22.73%,-1.46%,-49.63%,-46.43%,-87.42%,-54.24%,0.11,9.68%,10.19%,13.83%,-15.82%,-50.93%,0.00%,0.75%,621.13,25.32,786230,1.34,1.35,1.35,1.35,1.35,0.75%,,
5,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.89,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.07%,0.00%,-0.11%,1.70%,2.32%,2.63%,3.02%,2.01%,-1.03%,-2.04%,-8.68%,-85.03%,-91.28%,-92.41%,-97.43%,-94.08%,0.21,43.08%,31.84%,-69.07%,-86.94%,-90.69%,-0.22%,7.53%,2032.29,100.22,10183364,0.25,0.27,0.27,0.27,0.27,7.29%,,
6,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",27.23,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.85%,2.16%,1.72%,2.61%,-2.48%,-3.28%,0.00%,-5.60%,0.00%,7.27%,9.77%,13.47%,14.56%,-48.02%,-58.16%,-51.84%,0.12,6.54%,3.57%,16.49%,14.39%,-18.99%,3.96%,15.82%,4.19,12795.53,2681536,1.96,2.27,2.36,2.27,2.36,20.41%,,
7,"INTC","Intel Corp.","Technology","Semiconductors","USA",153784.12,37.63,5.01,4257.00,4254.58,0.06%,0.55%,67.03%,-1.78%,2.26%,2.03,96.01,0.12%,0.24%,0.35%,0.85%,0.24%,1.08%,0.71%,2.31%,5.75%,5.57%,3.60%,18.64%,-0.37%,-23.24%,5.11%,-28.11%,1.04,3.50%,2.61%,12.52%,15.39%,-7.11%,0.06%,5.14%,47320.86,3.44,8143293,34.34,36.10,36.20,36.10,36.12,5.20%,,
8,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",26.80,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,0.68%,0.74%,0.00%,0.27%,-0.24%,0.96%,0.73%,-7.04%,18.21%,18.21%,-7.25%,32.29%,19.55%,-59.42%,-88.05%,-68.97%,0.66,27.05%,22.18%,69.00%,131.26%,-53.05%,0.72%,19.03%,9500.39,18.43,8756484,3.52,4.19,4.24,4.17,4.22,19.89%,,
9,"LPA","Logistic Properties of the Americas","Real Estate","Real Estate - Development","USA",898.03,588.78,0.00,4.19,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.05,0.02,0.14%,-3.42%,-4.26%,-4.90%,-5.79%,-8.29%,2.31%,15.17%,21.91%,19.70%,228.16%,71.95%,275.10%,168.18%,178.47%,167.42%,13.26,61.60%,28.07%,106.07%,1.39%,95.65%,0.32%,8.58%,336.80,41.24,694555,26.00,28.23,28.54,28.16,28.32,8.92%,,
10,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",15.29,,0.01,73.20,52.99,27.61%,46.08%,9.12%,53.78%,1.90%,0.60,1.01,1.90%,1.90%,-0.52%,1.06%,0.87%,1.36%,2.86%,0.00%,7.13%,7.07%,11.95%,-10.15%,-74.80%,-95.74%,-93.15%,-96.50%,0.03,9.58%,11.05%,-5.68%,-37.03%,-92.47%,-0.52%,5.05%,1677.75,7.94,666036,0.20,0.21,0.21,0.21,0.21,4.50%,,
