"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",26.75,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,2.83%,1.89%,1.40%,4.31%,2.35%,4.31%,-1.36%,-1.80%,4.81%,4.81%,13.25%,5.83%,11.22%,105.66%,-20.44%,84.75%,0.10,2.78%,4.61%,15.39%,8.05%,49.08%,4/15/2024 8:30:00 AM,1.40%,8.59%,78.20,976.25,3817252,1.98,2.15,2.18,2.16,2.18,10.10%,
2,"KOSS","Koss Corp.","USA",87.46,,5.22,43.64%,-0.62%,6.46%,1.01%,5.68%,0.08,0.30,-0.37%,-0.37%,0.15%,0.05%,1.56%,-1.51%,6.24%,7.70%,8.43%,8.43%,-4.69%,123.00%,306.67%,212.05%,158.33%,182.24%,1.86,21.26%,25.01%,46.77%,80.13%,174.67%,2/1/2024 4:30:00 PM,-0.16%,8.60%,3510.25,4.17,731363,8.72,9.47,9.50,9.40,9.45,8.43%,
3,"CDT","Conduit Pharmaceuticals Inc","USA",28.06,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,2.73%,3.23%,4.08%,5.50%,1.39%,1.36%,0.45%,0.00%,2.10%,-4.98%,-9.09%,-81.19%,-88.20%,-90.71%,-96.37%,-91.65%,0.22,35.43%,31.41%,-59.94%,-82.06%,-87.00%,,4.11%,52.08%,313.83,3165.58,49673013,0.24,0.37,0.38,0.37,0.38,58.33%,
4,"AEON","AEON Biopharma Inc.","USA",98.20,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,-2.71%,-0.82%,-0.03%,-0.58%,-4.88%,-3.49%,-4.56%,-8.05%,-2.33%,-6.68%,128.20%,84.57%,-64.65%,-64.94%,-68.62%,-65.14%,0.33,36.67%,17.87%,111.58%,70.26%,-58.27%,5/14/2024 4:30:00 PM,-1.98%,12.32%,1001.61,78.38,3925502,2.28,2.56,2.58,2.51,2.51,10.10%,
5,"MGRX","Mangoceuticals Inc","USA",10.42,,13.97,43.72%,-1.14%,1.32%,,0.89%,0.02,0.12,-0.02%,-3.45%,-4.22%,-0.45%,-0.02%,0.00%,1.62%,-13.24%,5.95%,5.95%,29.23%,23.49%,72.13%,37.70%,-75.00%,51.68%,0.05,12.94%,12.15%,27.80%,24.65%,6.61%,,-0.73%,9.67%,5435.08,26.31,7149688,0.39,0.42,0.43,0.42,0.42,8.86%,
6,"KZIA","Kazia Therapeutics Limited ADR","Australia",14.21,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,-0.27%,-1.43%,-1.81%,-2.32%,-2.40%,-2.40%,-8.91%,-6.50%,15.62%,17.08%,213.12%,148.12%,95.83%,71.82%,-39.88%,36.79%,0.17,91.66%,32.28%,73.82%,99.37%,45.10%,,0.02%,7.74%,11754.45,12.10,7110734,0.56,0.60,0.61,0.60,0.60,7.76%,
7,"BTAI","BioXcel Therapeutics Inc","USA",46.35,,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.72,1.62,0.00%,0.00%,0.00%,0.00%,1.23%,1.23%,1.30%,4.66%,-2.76%,-2.76%,14.35%,-12.41%,-55.09%,-53.04%,-88.01%,-58.14%,0.11,7.67%,9.70%,4.00%,-24.14%,-55.22%,5/9/2024 8:30:00 AM,0.41%,0.82%,595.87,19.76,588667,1.22,1.23,1.24,1.23,1.24,1.23%,
8,"PAYS","PaySign Inc","USA",247.38,36.25,32.53,38.60%,8.33%,26.75%,7.21%,1.42%,2.41,0.46,0.42%,0.42%,0.42%,1.29%,1.95%,4.00%,4.00%,5.64%,5.61%,5.61%,19.73%,16.01%,15.01%,82.40%,109.39%,66.76%,0.21,3.95%,5.00%,17.26%,7.34%,44.93%,7/31/2024 4:30:00 PM,0.20%,7.62%,190.88,12.02,114709,4.33,4.66,4.74,4.60,4.67,7.84%,
9,"TKLF","Yoshitsu Co Ltd ADR","Japan",15.95,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,2.33%,2.30%,2.30%,2.33%,0.14%,-2.00%,0.23%,-2.09%,48.30%,62.96%,71.94%,101.74%,85.97%,-36.55%,-65.62%,-37.21%,0.04,16.52%,10.35%,74.83%,82.72%,-11.51%,7/16/2024 8:30:00 AM,2.92%,39.59%,2213.94,232.63,25751361,0.31,0.43,0.44,0.43,0.44,43.67%,
10,"TOYO","TOYO Co Ltd.","Japan",133.65,15.91,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.01%,0.28%,0.01%,0.01%,-0.06%,-0.33%,-0.03%,-0.41%,5.08%,5.81%,87.05%,-69.29%,-74.07%,-73.03%,-70.98%,-73.69%,1.15,25.64%,25.84%,-44.95%,-65.01%,-71.49%,,0.15%,1.22%,1266.77,4.21,266455,2.86,2.89,2.89,2.86,2.90,1.37%,
