"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",678.04,,,39.97,23.50,58.79%,41.95%,0.00%,39.66%,-15.81%,8.31%,7.33,1.95,37.01%,-4.60%,-21.26%,0.42%,0.78%,0.42%,0.60%,1.52%,1.52%,1.70%,-1.12%,-3.24%,-3.24%,23.71%,47.32%,19.73%,44.77%,5.55%,20.16%,0.69,3.87%,3.58%,31.34%,35.43%,39.75%,0.30%,23.52%,266.45,110.77,1475771,13.52,16.70,16.79,16.67,16.75,23.89%,,
2,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",34.58,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,5.70%,4.51%,3.34%,4.12%,2.96%,2.96%,4.12%,-1.07%,-10.04%,-13.13%,,,,,,13.47%,1.11,,,13.47%,13.47%,13.47%,4.51%,8.57%,2081.96,38.38,3995623,2.45,2.66,2.78,2.63,2.78,13.47%,,
3,"BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom",76646.73,,7.09,2230.46,2212.63,99.20%,0.00%,,6.80%,7.26%,0.17%,0.94,3.75,69.97%,45.85%,-53.47%,0.23%,-0.06%,-0.11%,-0.06%,-0.20%,-0.20%,-0.23%,-0.29%,-0.11%,-0.49%,4.84%,7.81%,17.46%,17.74%,2.27%,18.27%,0.46,0.97%,0.94%,7.67%,9.86%,13.69%,0.22%,3.55%,3997.26,3.92,783534,33.38,34.56,34.66,34.57,34.64,3.78%,,
4,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",17.10,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,3.21%,3.45%,5.88%,9.77%,13.92%,12.78%,4.90%,0.00%,20.00%,20.00%,155.68%,136.84%,38.04%,-66.69%,-93.30%,-69.89%,0.86,89.62%,42.27%,73.18%,65.08%,-70.95%,3.69%,11.86%,2158.58,21.11,2277930,3.88,4.34,4.50,4.31,4.50,15.98%,,
5,"JD","JD.com Inc ADR","Consumer Cyclical","Internet Retail","China",36794.81,12.16,7.30,1410.49,1367.54,96.95%,0.08%,0.00%,19.24%,-11.18%,2.53%,2.96,34.56,14.68%,2.78%,2.27%,1.45%,1.34%,1.80%,2.22%,2.03%,2.15%,1.91%,1.68%,2.42%,2.61%,2.30%,-2.48%,-4.90%,13.92%,-30.22%,-6.94%,0.89,2.18%,2.60%,0.67%,-7.49%,-0.22%,1.34%,2.99%,11687.53,2.23,1301184,25.76,26.53,26.94,26.50,26.89,4.37%,,
6,"KMI","Kinder Morgan Inc","Energy","Oil & Gas Midstream","USA",46786.22,19.25,16.91,2219.73,1935.18,87.18%,12.81%,-0.10%,65.70%,-0.08%,2.26%,3.12,43.81,35.20%,27.91%,15.89%,0.00%,-0.05%,0.38%,-0.05%,-0.05%,-0.05%,0.14%,0.19%,0.24%,0.38%,0.14%,4.88%,12.07%,24.81%,16.72%,19.50%,0.36,2.79%,1.74%,3.57%,5.99%,16.34%,-0.17%,0.31%,14035.48,2.23,1565771,21.05,21.11,21.10,21.05,21.08,0.14%,,
7,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",50.33,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,4.13%,3.85%,3.46%,1.95%,3.81%,0.15%,1.94%,4.13%,2.25%,35.12%,333.21%,379.58%,291.38%,258.42%,,224.29%,0.64,93.07%,32.01%,223.87%,283.66%,144.69%,3.81%,38.98%,3780.30,89.38,16893414,2.36,3.28,3.46,3.25,3.40,44.28%,,
8,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",13.86,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,-3.27%,-5.04%,-6.76%,-5.05%,-4.17%,-8.41%,-3.27%,-2.36%,1.47%,-13.03%,141.26%,181.40%,29.70%,-81.79%,-89.82%,-88.80%,0.10,11.55%,14.43%,197.36%,82.30%,-77.19%,-4.17%,175.93%,1037.59,635.60,32974470,0.39,1.08,1.09,1.03,1.03,164.44%,,
9,"POAI","Predictive Oncology Inc","Healthcare","Medical Instruments & Supplies","USA",10.91,,,4.06,3.95,97.29%,3.69%,0.00%,5.55%,-16.14%,0.48%,0.01,0.02,30.30%,-749.71%,-754.19%,0.78%,0.40%,5.16%,8.60%,10.86%,28.53%,29.79%,32.37%,121.72%,114.56%,127.40%,151.00%,98.55%,-17.12%,-46.03%,-19.13%,0.21,7.30%,6.70%,149.70%,105.08%,9.23%,0.78%,146.73%,1829.68,415.09,37974452,1.07,2.64,2.74,2.55,2.66,148.65%,,
10,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",20.19,,3.08,45.67,45.34,99.28%,10.18%,0.00%,1.03%,,0.01%,0.00,0.01,11.05%,-27.17%,-60.46%,-0.84%,10.19%,-2.44%,0.91%,1.57%,2.56%,-4.83%,2.96%,11.14%,11.14%,-23.65%,-28.65%,-42.25%,-55.56%,-63.96%,-51.16%,0.09,14.22%,17.33%,-19.48%,-35.17%,-47.29%,7.82%,0.54%,2062.03,6.07,626281,0.37,0.37,0.40,0.37,0.40,8.40%,,
