"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6961.11,17.78,4.13,654.27,646.73,98.85%,1.43%,0.00%,58.83%,1.45%,17.07%,3.25,110.41,21.61%,6.84%,0.94%,0.28%,0.00%,-0.24%,1.82%,4.02%,6.95%,8.82%,8.15%,11.92%,12.87%,-0.09%,-4.67%,-23.78%,-23.83%,-36.28%,-22.78%,0.38,3.43%,2.75%,-2.58%,-10.50%,-19.54%,6.96%,-2.46%,33988.82,6.18,18192176,10.17,9.92,10.65,9.76,10.61,4.33%,,
2,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",363.07,,11.95,99.20,57.66,58.12%,41.87%,0.00%,30.07%,0.98%,1.67%,1.13,0.96,,-387.84%,-369.50%,0.00%,0.41%,1.10%,1.71%,1.67%,-1.88%,-1.08%,-1.08%,-2.14%,-9.63%,0.83%,-8.73%,54.43%,-8.50%,24.91%,-26.80%,0.23,5.37%,5.80%,-0.99%,-6.11%,7.51%,-0.54%,4.25%,855.91,6.98,516984,3.53,3.68,3.75,3.55,3.66,3.68%,,
3,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",15208.85,58.52,18.46,676.60,661.79,97.81%,2.57%,-0.16%,98.37%,-3.85%,3.24%,3.33,21.47,32.54%,11.96%,3.79%,-0.13%,-0.71%,-0.58%,-0.86%,0.18%,1.13%,0.54%,0.27%,-0.49%,-0.49%,7.96%,1.45%,-12.06%,1.45%,-1.58%,-1.93%,0.64,3.46%,2.59%,5.92%,-0.85%,-1.25%,0.99%,-0.89%,6445.74,2.28,1270826,22.37,22.17,22.60,22.06,22.39,0.09%,,
4,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",677.64,,,39.97,23.50,58.79%,41.95%,0.00%,39.66%,-15.81%,8.31%,7.33,1.95,37.01%,-4.60%,-21.26%,0.05%,0.12%,0.24%,0.35%,0.30%,0.36%,1.45%,0.06%,-3.29%,-3.29%,23.63%,47.23%,19.66%,44.68%,5.48%,20.09%,0.69,3.87%,3.58%,31.26%,35.34%,39.67%,0.24%,23.52%,266.45,86.16,1986625,13.52,16.70,16.80,16.66,16.74,23.82%,,
5,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",37.20,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,-0.34%,-4.65%,-9.10%,-13.05%,-18.97%,-3.55%,10.74%,2.40%,-1.64%,-6.56%,,,,,,22.04%,1.88,,,22.04%,22.04%,22.04%,12.41%,8.57%,2081.96,52.43,9446703,2.45,2.66,4.30,2.63,2.99,22.04%,,
6,"BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom",76867.12,,7.11,2230.46,2212.63,99.20%,0.00%,,6.80%,7.26%,0.17%,0.94,3.75,69.97%,45.85%,-53.47%,-0.01%,0.11%,0.07%,-0.12%,-0.22%,-0.06%,0.09%,0.06%,0.20%,-0.20%,5.15%,8.12%,17.80%,18.08%,2.57%,18.61%,0.48,0.97%,0.94%,7.98%,10.18%,14.02%,0.51%,3.55%,3997.26,6.19,2141953,33.38,34.56,34.87,34.57,34.74,4.07%,,
7,"CERE","Cerevel Therapeutics Holdings Inc","Healthcare","Biotechnology","USA",8100.17,,,181.36,87.51,48.25%,51.97%,-0.29%,47.94%,4.97%,6.83%,3.63,5.98,,0.00%,,0.14%,0.52%,0.48%,0.63%,0.66%,0.84%,2.07%,2.09%,2.09%,2.09%,4.12%,12.39%,6.11%,5.83%,44.68%,4.86%,0.79,0.85%,2.59%,7.07%,7.50%,16.65%,1.46%,1.04%,1646.73,7.05,1004971,43.37,43.82,44.46,43.75,44.46,2.51%,,
8,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",18.35,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,4.55%,9.78%,9.77%,9.77%,9.03%,10.78%,19.26%,25.79%,24.48%,28.80%,174.43%,154.21%,48.16%,-64.25%,-92.81%,-67.68%,0.89,89.62%,42.27%,85.88%,77.19%,-68.82%,11.29%,11.86%,2158.58,22.21,4032835,3.88,4.34,5.01,4.24,4.83,24.48%,,
9,"CNX","CNX Resources Corp","Energy","Oil & Gas E&P","USA",3898.68,4.63,13.26,154.38,146.28,94.75%,4.54%,0.00%,106.33%,-6.23%,17.51%,9.82,25.61,28.77%,13.02%,76.07%,0.22%,0.43%,0.08%,0.32%,-1.76%,-1.08%,-1.20%,-1.20%,-2.15%,-2.15%,-1.89%,4.73%,5.08%,26.69%,38.79%,27.20%,0.62,2.24%,2.07%,0.73%,1.50%,13.24%,-1.17%,3.42%,2606.80,2.76,622055,24.89,25.74,26.16,25.25,25.44,2.21%,,
10,"CX","Cemex S.A.B. De C.V. ADR","Basic Materials","Building Materials","Mexico",9561.50,43.92,7.25,1511.70,1511.68,100.00%,0.00%,,30.77%,-1.58%,0.57%,1.15,8.58,32.77%,12.16%,1.21%,0.08%,0.00%,0.32%,0.88%,1.85%,4.37%,4.37%,1.85%,1.33%,1.33%,-0.24%,-0.24%,-22.11%,-18.28%,-14.99%,-18.39%,0.25,4.06%,3.45%,-1.55%,-7.56%,-14.74%,1.77%,0.08%,7480.15,2.28,1473682,6.21,6.22,6.34,6.01,6.32,1.85%,,
11,"HLN","Haleon plc ADR","Healthcare","Drug Manufacturers - Specialty & Generic","United Kingdom",41666.12,32.48,18.18,4617.29,4566.14,98.89%,0.00%,,11.14%,,0.39%,3.69,17.81,59.47%,19.99%,9.26%,0.16%,0.16%,0.20%,0.50%,0.77%,1.35%,1.61%,1.39%,1.05%,1.16%,2.41%,6.48%,9.28%,13.78%,4.29%,10.87%,0.12,1.06%,1.08%,5.31%,6.95%,9.25%,1.61%,0.11%,4831.42,2.06,859854,8.97,8.98,9.12,8.98,9.12,1.73%,,
12,"HOLO","MicroCloud Hologram Inc","Technology","Electronic Components","China",40.35,,,81.99,77.86,94.96%,5.04%,0.00%,0.13%,-81.63%,8.37%,0.31,6.52,35.55%,-37.98%,-39.98%,-0.95%,1.59%,4.48%,5.92%,10.98%,11.87%,14.10%,11.84%,9.38%,11.59%,-7.34%,-47.88%,-79.06%,-75.98%,-97.88%,-86.13%,0.15,31.82%,20.19%,-30.09%,-60.40%,-89.97%,11.66%,-2.93%,20993.13,2.97,5392334,0.45,0.44,0.50,0.44,0.49,8.39%,,
13,"HP","Helmerich & Payne, Inc.","Energy","Oil & Gas Drilling","USA",3763.21,11.10,10.90,99.43,95.14,95.69%,3.63%,-1.06%,108.09%,-0.88%,14.29%,11.80,13.60,25.84%,16.81%,12.59%,0.16%,0.35%,0.40%,1.04%,1.30%,1.28%,1.28%,3.03%,0.98%,0.98%,-2.83%,8.63%,-9.76%,9.29%,-8.50%,6.19%,1.23,3.28%,3.05%,2.39%,4.20%,0.32%,1.38%,-0.40%,1152.69,6.08,606571,37.75,37.60,38.33,36.85,38.12,0.98%,,
14,"HYZN","Hyzon Motors Inc","Consumer Cyclical","Auto Parts","USA",37.76,,,245.08,207.41,84.63%,23.15%,-10.98%,15.84%,-2.31%,3.73%,6.80,7.74,-125.58%,-1648.27%,-1829.33%,-0.07%,0.07%,-0.07%,-0.07%,-0.07%,0.72%,0.72%,2.49%,0.65%,2.87%,-50.74%,-61.32%,-76.90%,-78.36%,-92.56%,-84.37%,0.04,29.83%,16.01%,-51.70%,-65.74%,-79.98%,1.82%,1.33%,1138.23,7.81,748071,0.14,0.14,0.14,0.14,0.14,3.17%,,
15,"IMAX","Imax Corp","Communication Services","Entertainment","Canada",1046.61,41.93,17.44,53.26,42.14,79.12%,19.93%,-0.30%,78.03%,-1.95%,9.65%,5.65,4.07,56.02%,14.88%,7.13%,0.61%,1.48%,1.90%,-0.13%,2.42%,2.00%,0.81%,4.41%,3.76%,7.57%,12.76%,13.14%,12.63%,41.16%,17.69%,32.42%,0.67,3.09%,3.10%,15.80%,19.10%,21.89%,2.10%,9.25%,719.55,8.31,517496,17.83,19.48,20.04,19.07,19.89,11.55%,,
