"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",25.89,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,1.91%,1.88%,2.84%,5.06%,-4.65%,-7.38%,-7.23%,-9.13%,121.25%,121.25%,68.99%,53.56%,34.79%,-29.94%,,-47.37%,0.03,15.15%,8.56%,67.86%,46.61%,-55.71%,1.91%,130.77%,253.80,3475.08,44098806,0.14,0.33,0.34,0.33,0.34,135.17%
2,"BCAB","BioAtla Inc","Healthcare","Biotechnology","USA",86.62,,48.08,38.78,80.66%,19.40%,0.00%,51.13%,11.55%,13.53%,6.04,5.25,-0.51%,-1.91%,-6.74%,-6.74%,-6.74%,-5.73%,-6.73%,-6.25%,-2.70%,-2.70%,-12.20%,19.21%,-17.43%,-10.00%,-38.57%,-26.83%,0.20,14.33%,13.05%,16.69%,0.22%,-16.47%,0.00%,3.45%,868.57,13.15,571169,1.74,1.80,1.81,1.79,1.80,3.45%
3,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",23.50,,175.80,171.69,97.66%,2.34%,0.00%,3.02%,10.09%,1.92%,0.40,3.29,1.52%,1.52%,1.52%,1.52%,1.52%,1.60%,1.98%,-0.15%,0.91%,-0.45%,-4.70%,16.56%,-22.22%,-20.46%,-89.04%,-41.46%,0.01,7.63%,7.95%,8.56%,-7.27%,-37.09%,1.67%,0.92%,8262.96,2.50,1032872,0.13,0.13,0.14,0.13,0.13,2.61%
4,"FEIM","Frequency Electronics, Inc.","Technology","Communication Equipment","USA",125.93,38.76,9.37,8.47,90.39%,10.74%,1.29%,57.89%,-1.15%,0.25%,1.05,0.02,1.61%,1.84%,1.84%,2.08%,2.00%,3.67%,-1.69%,-3.63%,-3.84%,-2.50%,38.66%,45.35%,38.95%,27.47%,95.15%,21.19%,0.57,5.90%,3.54%,45.15%,42.94%,38.74%,1.30%,29.70%,19.73,525.33,518142,10.10,13.10,13.31,13.10,13.27,31.39%
5,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",10.98,1.05,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,-3.26%,-1.63%,-1.65%,-1.49%,-1.65%,-1.65%,-5.13%,-9.22%,-3.97%,2.29%,-9.22%,-19.16%,-74.18%,-69.62%,-94.34%,-92.91%,0.12,30.03%,18.41%,5.85%,-32.70%,-87.25%,-3.10%,13.20%,950.04,38.56,1831527,0.54,0.61,0.61,0.59,0.59,9.68%
6,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.49,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.00%,0.00%,1.12%,0.36%,0.81%,0.62%,1.32%,4.28%,5.81%,6.72%,-5.20%,-2.19%,-41.02%,-45.08%,-40.04%,-32.76%,0.05,5.69%,5.78%,-3.30%,-17.18%,-31.89%,1.28%,1.97%,222.75,77.37,861648,0.70,0.71,0.72,0.70,0.72,3.27%
7,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",13.01,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,-1.06%,-1.22%,-0.62%,-1.28%,-3.69%,1.66%,4.53%,-0.17%,13.91%,15.39%,-11.11%,-29.26%,-80.94%,-95.76%,-93.83%,-97.02%,0.03,14.81%,11.74%,-12.73%,-37.08%,-93.39%,-0.62%,21.38%,1971.83,44.81,4418166,0.15,0.18,0.18,0.18,0.18,20.64%
8,"MUFG","Mitsubishi UFJ Financial Group, Inc. ADR","Financial","Banks - Diversified","Japan",132430.70,13.06,11688.52,11686.40,99.98%,0.02%,0.00%,7.06%,-0.97%,0.08%,4.60,9.04,0.00%,0.18%,0.18%,0.18%,0.18%,-0.43%,-0.44%,-0.35%,-0.43%,-0.43%,0.00%,16.92%,12.85%,27.30%,50.27%,31.59%,0.16,1.12%,0.96%,3.27%,7.63%,18.55%,0.00%,0.44%,1965.73,13.46,1322988,11.28,11.33,11.33,11.33,11.33,0.44%
9,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",12.04,1.95,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,-0.24%,-9.02%,-11.43%,-14.17%,-19.18%,-14.20%,-15.65%,-20.65%,-37.08%,-40.91%,1.00%,-25.92%,-50.44%,-95.86%,-95.59%,-95.86%,0.05,9.46%,8.83%,-3.70%,-25.85%,-92.05%,-0.02%,30.03%,81.94,3537.97,14495148,0.35,0.46,0.46,0.45,0.46,30.00%
10,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",21.56,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,-4.67%,-6.52%,-5.45%,-6.37%,-5.40%,-6.13%,-5.16%,-13.03%,-17.01%,-17.80%,19.66%,50.86%,-61.36%,-63.02%,-93.02%,-80.65%,0.10,25.86%,14.32%,33.52%,-18.01%,-83.84%,-3.92%,59.05%,452.58,789.80,17872582,0.48,0.76,0.76,0.73,0.73,52.81%
11,"STBX","Starbox Group Holdings Ltd","Communication Services","Internet Content & Information","Malaysia",40.12,,236.00,164.11,69.54%,30.46%,0.00%,0.08%,37.41%,0.03%,0.68,0.06,0.00%,0.00%,0.00%,4.94%,11.84%,11.84%,6.92%,-24.98%,-13.71%,-13.71%,-2.19%,-8.11%,-11.04%,-15.25%,-95.64%,-35.61%,0.01,5.19%,6.11%,-4.63%,-7.91%,-45.04%,1.80%,-1.71%,80.93,446.25,1805783,0.17,0.17,0.17,0.17,0.17,0.06%
12,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",224.23,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,-0.03%,-0.42%,-0.24%,-1.30%,-0.03%,-0.67%,-3.57%,-1.51%,1.06%,2.84%,34.26%,42.47%,40.75%,24.90%,-7.75%,4.46%,0.25,4.64%,6.11%,45.18%,36.76%,21.90%,0.41%,32.57%,59.01,513.38,1514782,3.50,4.64,4.66,4.64,4.66,33.11%
13,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",13.61,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,0.11%,-2.59%,-2.89%,2.44%,-1.86%,0.87%,-0.27%,-12.06%,9.82%,9.82%,6.34%,3.25%,-45.25%,-53.30%,,-63.83%,0.02,7.27%,6.51%,9.12%,-42.71%,-85.23%,2.33%,12.06%,1715.54,236.04,20247110,0.16,0.18,0.19,0.18,0.18,14.67%
14,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",12.90,,22.40,,,,,0.68%,,,0.83,0.10,-1.52%,-3.89%,-4.87%,-5.56%,-4.56%,-8.12%,-9.15%,-24.24%,-31.03%,-37.36%,85.84%,74.58%,92.03%,74.63%,,74.68%,0.05,9.78%,9.10%,85.97%,85.94%,46.45%,-5.09%,108.59%,123.25,7901.30,48693419,0.29,0.61,0.61,0.57,0.58,97.97%
