"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",27.71,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,-0.69%,-3.20%,-7.64%,-6.08%,-16.67%,-12.98%,-2.57%,12.50%,136.84%,136.84%,80.90%,64.38%,44.29%,-25.00%,,-43.66%,0.04,15.15%,8.56%,79.69%,56.95%,-52.59%,141.61%,4.20%,253.80,3022.35,38353618,0.14,0.15,0.46,0.14,0.36,151.75%
2,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",23.05,,175.80,171.69,97.66%,2.34%,0.00%,3.02%,10.09%,1.92%,0.40,3.29,-0.08%,-0.53%,-0.53%,-0.46%,-0.53%,-2.02%,-2.53%,-1.43%,-2.38%,-2.38%,-6.56%,14.30%,-23.73%,-22.01%,-89.25%,-42.60%,0.01,7.63%,7.95%,6.45%,-9.07%,-38.31%,-2.38%,3.07%,8262.96,2.19,904441,0.13,0.13,0.14,0.13,0.13,0.61%
3,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",11.58,1.10,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,0.00%,0.00%,1.95%,1.97%,-0.10%,0.34%,-4.31%,0.39%,7.82%,7.82%,-4.31%,-14.79%,-72.78%,-67.97%,-94.03%,-92.52%,0.13,30.03%,18.41%,11.57%,-29.06%,-86.56%,6.78%,8.27%,950.04,35.75,1697978,0.54,0.58,0.72,0.58,0.62,15.61%
4,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.04,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.08%,1.43%,-1.31%,1.37%,2.82%,0.01%,2.91%,4.43%,5.32%,5.32%,-6.44%,-3.47%,-41.80%,-45.79%,-40.83%,-33.64%,0.05,5.69%,5.78%,-4.56%,-18.26%,-32.78%,5.32%,-3.23%,222.75,70.84,788933,0.70,0.67,0.76,0.65,0.71,1.92%
5,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",12.44,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,0.00%,-2.30%,0.00%,-1.73%,-2.47%,-1.73%,-4.17%,1.37%,10.39%,10.39%,-14.96%,-32.32%,-81.77%,-95.94%,-94.10%,-97.15%,0.03,14.81%,11.74%,-16.51%,-39.80%,-93.67%,10.39%,4.55%,1971.83,35.43,3492612,0.15,0.15,0.19,0.15,0.17,15.41%
6,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",13.79,2.24,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,-3.41%,-3.64%,-4.67%,-4.05%,-5.27%,-4.84%,-8.39%,-22.25%,-30.45%,-32.34%,15.65%,-15.17%,-43.25%,-95.26%,-94.95%,-95.26%,0.08,9.46%,8.83%,10.27%,-15.10%,-90.89%,-33.87%,125.09%,81.94,3334.14,13660051,0.35,0.79,0.83,0.52,0.52,48.86%
7,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",345.03,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,5.50%,0.18,1.29,0.98%,1.64%,2.54%,2.76%,1.86%,3.10%,3.45%,10.45%,12.73%,13.28%,290.76%,365.00%,195.24%,,,-62.80%,1.16,47.86%,20.45%,237.20%,237.63%,141.66%,14.53%,-7.41%,7333.00,16.71,6127810,8.77,8.12,9.55,8.10,9.30,6.04%
8,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",22.92,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,0.82%,1.48%,2.55%,5.62%,-5.39%,-8.64%,-5.50%,-11.78%,-22.21%,-12.62%,27.20%,60.36%,-58.93%,-60.69%,-92.58%,-79.44%,0.13,25.86%,14.32%,41.93%,-12.84%,-82.83%,-10.41%,81.31%,452.58,746.45,16891495,0.48,0.87,1.18,0.73,0.78,62.44%
9,"STBX","Starbox Group Holdings Ltd","Communication Services","Internet Content & Information","Malaysia",40.88,,236.00,164.11,69.54%,30.46%,0.00%,0.08%,37.41%,0.03%,0.68,0.06,0.00%,0.00%,0.00%,0.00%,14.32%,2.49%,6.85%,13.80%,-12.08%,-12.08%,-0.35%,-6.38%,-9.37%,-13.66%,-95.56%,-34.39%,0.02,5.19%,6.11%,-2.83%,-6.18%,-44.01%,-3.13%,5.24%,80.93,438.01,1772448,0.17,0.18,0.27,0.13,0.17,1.94%
10,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",232.55,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,0.01%,-0.75%,-0.99%,-0.59%,1.08%,0.70%,1.76%,2.37%,7.14%,6.66%,39.24%,47.76%,45.98%,29.54%,-4.32%,8.34%,0.27,4.64%,6.11%,50.57%,41.84%,26.43%,10.57%,24.86%,59.01,355.95,1050283,3.50,4.37,4.90,4.27,4.83,38.05%
11,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",12.91,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,-5.41%,-2.89%,-7.55%,-7.89%,-6.07%,-7.89%,-14.63%,-6.22%,4.17%,4.17%,0.86%,-2.07%,-48.07%,-55.71%,,-65.69%,0.03,7.27%,6.51%,3.50%,-45.66%,-85.99%,4.17%,4.41%,1715.54,227.85,19544430,0.16,0.17,0.32,0.15,0.17,8.76%
12,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",14.34,,22.40,,,,,0.68%,,,0.83,0.10,0.99%,-0.36%,2.28%,1.01%,1.65%,-10.36%,-15.78%,-12.27%,-28.17%,-30.37%,106.58%,94.06%,113.47%,94.12%,,94.18%,0.08,9.78%,9.10%,106.72%,106.69%,62.80%,-34.48%,235.88%,123.25,7604.46,46864051,0.29,0.98,1.04,0.60,0.64,120.07%
